ts_code,period,dcf_equity_value_ttm,dcf_equity_value_ttm_growth_r,total_mv,symbol,name,area,industry,market,list_date,list_status
000006.SZ,2018Q2,,,791097.097,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2018Q3,8465838382.202381,8465838382.202381,769497.1762,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2018Q4,43978441264.67525,43978441264.67525,699297.4338,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2019Q1,42988587214.23056,42988587214.23056,911246.6561,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2019Q2,62387531618.04054,62387531618.04054,735747.3001,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2019Q3,37709077674.01741,37709077674.01741,679047.5081,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2019Q4,,,723597.3447,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2020Q1,,,604797.7806,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2020Q2,,,919346.6263,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2020Q3,,,868046.8146,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2020Q4,,,757347.2208,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2021Q1,11013546347.857006,19431314963.114117,726297.3347,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2021Q2,,,676347.518,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2021Q3,,,606147.7757,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2021Q4,,,602097.7905,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2022Q1,,,695247.4487,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2022Q2,,,635847.6667,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2022Q3,24836098108.866436,-153635933.31884193,557547.954,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2022Q4,59635494426.61805,16512314810.678158,850496.879,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2023Q1,44693985049.05333,7802447355.691062,685797.4834,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2023Q2,41474379841.469505,4605908970.200229,589947.8351,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2023Q3,23861925052.47232,1190050462.422112,612897.7509,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2023Q4,-605524500.3269091,-605524500.3269091,619647.7261,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2024Q1,7585665045.685935,7585665045.685935,533248.0432,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2024Q2,9865389478.1876,9865389478.1876,523798.0778,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
000006.SZ,2024Q3,2740203537.1640015,2740203537.1640015,754647.2307,000006,深振业Ａ,深圳,区域地产,主板,19920427,L
